user_id,account_id,description,category,amount,currency,txn_type,merchant,txn_date,posted_date
15,1,ATM Withdrawal,ATM,5000.0,INR,debit,State Bank ATM,2026-03-10T09:15:00,2026-03-10T09:16:30
15,1,Salary Credit,Income,45000.0,INR,credit,ABC Pvt Ltd,2026-03-01T10:00:00,2026-03-01T10:02:00
15,1,Grocery Shopping,Food,1250.75,INR,debit,Reliance Fresh,2026-03-12T18:30:00,2026-03-12T18:35:00
15,1,Electricity Bill,Utilities,2200.0,INR,debit,TNEB,2026-03-08T11:20:00,2026-03-08T11:25:00
15,1,Online Purchase,Shopping,2999.0,INR,debit,Amazon,2026-03-11T20:45:00,2026-03-11T20:50:00
15,1,Refund for Order,Shopping,2999.0,INR,credit,Amazon,2026-03-13T14:10:00,2026-03-13T14:15:00
15,1,Restaurant Payment,Food,850.5,INR,debit,Dominos,2026-03-09T21:00:00,2026-03-09T21:05:00
15,1,UPI Transfer to Friend,Transfer,2000.0,INR,debit,Google Pay,2026-03-07T16:40:00,2026-03-07T16:41:00
15,1,Interest Credit,Interest,125.35,INR,credit,State Bank,2026-03-05T00:00:00,2026-03-05T00:01:00
15,1,Mobile Recharge,Utilities,399.0,INR,debit,Airtel,2026-03-06T13:25:00,2026-03-06T13:26:00
15,1,Fuel Payment,Transport,1800.0,INR,debit,Indian Oil,2026-03-14T08:20:00,2026-03-14T08:21:30
15,1,Movie Tickets,Entertainment,750.0,INR,debit,BookMyShow,2026-03-14T19:10:00,2026-03-14T19:12:00
15,1,Pharmacy Purchase,Health,620.5,INR,debit,Apollo Pharmacy,2026-03-13T17:45:00,2026-03-13T17:47:00
15,1,Bus Ticket,Transport,120.0,INR,debit,RedBus,2026-03-12T07:30:00,2026-03-12T07:31:00
15,1,Water Bill,Utilities,980.0,INR,debit,Metro Water,2026-03-11T10:00:00,2026-03-11T10:02:00
15,1,Clothing Purchase,Shopping,3450.0,INR,debit,Myntra,2026-03-10T16:25:00,2026-03-10T16:30:00
15,1,Cab Ride,Transport,310.75,INR,debit,Uber,2026-03-09T22:10:00,2026-03-09T22:12:00
15,1,Subscription Payment,Entertainment,499.0,INR,debit,Netflix,2026-03-08T00:05:00,2026-03-08T00:06:00
15,1,Insurance Premium,Insurance,5200.0,INR,debit,LIC,2026-03-07T12:00:00,2026-03-07T12:05:00
15,1,Freelance Income,Income,15000.0,INR,credit,Upwork,2026-03-06T15:30:00,2026-03-06T15:32:00
15,1,UPI Received from Friend,Transfer,2500.0,INR,credit,Google Pay,2026-03-05T20:10:00,2026-03-05T20:11:00
15,1,Electronics Purchase,Shopping,18999.0,INR,debit,Flipkart,2026-03-04T14:55:00,2026-03-04T15:00:00
15,1,Parking Fee,Transport,60.0,INR,debit,City Parking,2026-03-03T18:05:00,2026-03-03T18:06:00
15,1,Donation Payment,Others,500.0,INR,debit,Temple Trust,2026-03-02T09:30:00,2026-03-02T09:32:00
15,1,Online Course Purchase,Education,2200.0,INR,debit,Udemy,2026-03-01T21:00:00,2026-03-01T21:02:00